card_edition	card_type	card_id	card_value	card_color	card_name	card_number	card_text	card_quotation
Jacuzzi	bath_toy	59	3	#CDE6D0	Fernand Labori	© 2025 Seventeen Games | Card 59	"Labori stood, though bullets flew,
His cause was just, his heart was true."	“Law is always better than war.” — Brian
Jacuzzi	bath_toy	202	9	#DA3996	Félix Faure	© 2025 Seventeen Games | Card 202	"President Faure ignored the storm,
And clung to comfort, not reform."	“Life is wasted on the living.” — Douglas
Jacuzzi	bath_toy	178	9	#FFEDC7	Codename: Lima	© 2025 Seventeen Games | Card 178 | H3	"Lima masked the hand unseen,
A ghost within the war machine."	“Nobody picks on a strong man.” — Charles
Jacuzzi	bath_toy	150	8	#DA3996	M Schwartzkoppen	© 2025 Seventeen Games | Card 150	"Schwartzkoppen sent the secrets on,
While Dreyfus bore the burden long."	"“Nothing is ours, except time.” — Lucius Annaeus"
Jacuzzi	bath_toy	123	7	#E1897A	Adolphe Messimy	© 1984 Commonly Follows Main | Card 123 | J3	"Messimy gave the truth a shield,
In chambers where dark lies revealed."	“Nothing thicker than a knife's blade separates happiness from melancholy.” — Virginia
Jacuzzi	bath_toy	198	9	#AAE0FC	Hubert-Josèph Henry	© 2025 Seventeen Games | Card 198 | D1	"Henry forged the fatal lie,
And seemed to abide uxoricide?"	“Obedience is the fruit of faith.” — Christina
Jacuzzi	bath_toy	134	7	#1FB25A	Jean-Bière Recho	© 1984 Comic Louis | Card 134 | I1	"Jean-Bière swayed the public tone,
The Third Republic soon unthroned."	“One cowboy is never enough.” — Vanessa
Jacuzzi	bath_toy	186	9	#E1897A	Júles Meline	© 2025 Seventeen Games | Card 186 | J2	"An appendix penned with practiced hand,
Meline gave lies a legal stand?"	"“One planet, one experiment.” — Edward O."
Jacuzzi	bath_toy	39	2	#FFEDC7	Scheurer-Késtner	© 2025 Seventeen Games | Card 39 | K2	"Scheurer-Késtner, with voice unbent,
Stirred the “September Senate” to dissent?"	“One should try to live with his abilities rather than his deprivals.” — M.H.
Jacuzzi	bath_toy	87	4	#AEA1FF	Ferd Forzinetti	© 1984 Missouri via USPS | Card 87 | A3	"Forzinetti saw beyond the bars,
And knew the man behind the scars."	“Saddle your dreams before you ride'em.” — Mary
Jacuzzi	bath_toy	33	1	#F7941D	"Geôrges
Clemenceau"	© 2025 Seventeen Games | Card 33	"As patron zealot, fierce and proud,
He shattered myths the state allowed?"	“Secrecy begets tyranny.” — Robert A.
Jacuzzi	bath_toy	194	9	#AEA1FF	Louis J Grégori	© 2025 Seventeen Games | Card 194 | A2	"At the Panthéon, with pistol drawn,
Grégori fired—but Dreyfus lived on."	“Security is a kind of death.” — Tennessee
Jacuzzi	action	230	0	#FFFFFF	Le Grand Uh Oh!	© 2025 Seventeen Games | Card 230	"Reverse the win condition of the game. For example, if the current win condition contains the word “fewest” or “least,” it’s now “most” or “greatest,” and vice versa.
Discard after playing."	“Some say the most mysterious question of all is WHY?” — Seventeen Games
Jacuzzi	bath_toy	2	-1	#F7941D	Alfred Dreyfus	© 2025 Seventeen Games | Card 2	"Falsely condemned, though loyal and square,
Dreyfus stood trial in a nation’s glare."	“Sometimes you’ve got to question your name to understand WHO you are.” — Seventeen Games
Jacuzzi	bath_toy	67	3	#E1897A	Henri Poincaré	© 2025 Seventeen Games | Card 67 | J1	"Poincaré proved with numbers tight,
Logic could move the wrong from right."	“Suffering is the sole origin of consciousness.” — Fyodor
Jacuzzi	action	218	0	#FFFFFF	"Louis
IV’s Surprise"	© 2025 Seventeen Games | Card 218	"If you’re not holding a Parent, you must play this card. Scan QR code to determine effect.
If this card can't be scanned, add it to your Overflow Pile."	“The best proof of love is trust.” — Joyce
Jacuzzi	bath_toy	35	1	#CDE6D0	Mathieu Dreyfus	© 2025 Seventeen Games | Card 35	"Mathieu fought with brotherly will,
To clear a name the courts would kill."	“The dieting wars have got to stop.” — Lady
Jacuzzi	bath_toy	79	4	#FFEDC7	Devil's Island	© 1984 Sri Lanka via Web | Card 79 | H2	"Dreyfus, alone on Île du Diable’s sand,
Held fast to truth in a foreign land."	“The future belongs to crowds.” — Don
Jacuzzi	bath_toy	162	8	#1FB25A	GG de Pellieux	© 2025 Seventeen Games | Card 162 | G3	"Pellieux charged with blind intent,
Injustice cloaked as legal bent."	"“There are no mistakes, save one: the failure to learn from a mistake.” — Robert"
Jacuzzi	bath_toy	75	4	#CDE6D0	Alexàndre Miller	© 2025 Seventeen Games | Card 75	"Though bound by harsh uitlander laws,
He fought for truth without a pause?"	“This is the strange thing: Dancers don't age.” — Twyla
Jacuzzi	bath_toy	3	-1	#1FB25A	Marié Picquart	© 2025 Seventeen Games | Card 3 | G2	"A “divine ufologist,” high in the sky,
Picquart saw truth where conspiracies fly?"	“This love is silent.” — T. S.
Jacuzzi	bath_toy	19	0	#E1897A	Hotel du Sphinx	© 2025 Seventeen Games | Card 19 | L1	"Behind closed doors they schemed and lied,
The Sphinx their lair where truth had died."	“Thought is free.” — William
Jacuzzi	bath_toy	47	2	#FFEDC7	Wastepaper Basket	© 2025 Seventeen Games | Card 47 | I2	"A maid's discovery in waste disposed,
A scandal vast was thus exposed."	“To be an artist means never to avert one's eyes.” — Akira
Jacuzzi	bath_toy	138	7	#DA3996	Jean-Vin Recho	© 2025 Seventeen Games | Card 138	"Jean-Vin spoke, but none replied,
A footnote history brushed aside."	“Un paraíso conseguido sin esfuerzo no entusiasma al creyente.” — Pío
Jacuzzi	bath_toy	190	9	#AAE0FC	Édouard Castelnau	© 2025 Seventeen Games | Card 190 | D2	"Castelnau’s scorn was sharp and wide,
A cross of hate he wore with pride."	“Uncertainty is the normal state.” — Tom
Jacuzzi	bath_toy	115	6	#AAE0FC	Gustave Hervé	© 1984 Franken or Bundy | Card 115 | E2	"Hervé marched with socialist pride,
His pen a blade at Dreyfus’ side."	“Used to dunk and they criticized me for the dunk.” — Shawn
Jacuzzi	bath_toy	206	9	#E1897A	FW Esterhazy	© 2025 Seventeen Games | Card 206 | K3	"Esterhazy, the true deceiver,
Wrote France’s shame as the great misleader."	“Vision is the art of seeing things invisible.” — Jonathan
Jacuzzi	action	224	0	#FFFFFF	Un Verre…?	© 2025 Seventeen Games | Card 224	"If there is a Parent on the table, send them out for a drink by shuffling them back into the draw pile.
Discard after playing."	"“WHAT letters can sometimes be found inside words. (That’s a statement, not a question.)” — Seventeen Games"
Jacuzzi	bath_toy	127	7	#1FB25A	Charles Dupuy	© 1984 La-la Predecessor | Card 127 | H1	"Dupuy stood still while tempests swirled,
A cautious man in a shaken world."	“You are never too old to become younger!” — Mae
Jacuzzi	bath_toy	182	9	#F7941D	Auguste Mercier	© 2025 Seventeen Games | Card 182	"Mercier claimed he knew the score,
Yet paved the road to wrongful war."	“You can observe a lot by watching.” — Yogi
Blood Bath	bath_toy	10	-1	#AAE0FC	Razor Wire Towel	© 2025 Seventeen Games | Card 10 | 16	"Barbs draw blood in the blink of an eye, and
Baby’s sweet smile soon whispers goodbye."	Aaron E Zachea says: “A quick brown fox jumps voluntarily upon this lazy dog.”
Blood Bath	bath_toy	106	5	#AAE0FC	Hot Sauce	© 2025 Seventeen Games | Card 106 | 47	Baby’s soft skin will suffer a loss when you spice up their bath with fiery red sauce.	Abby V Zachor says: “The quick brown fox jumps over the crazy dog.”
Blood Bath	bath_toy	58	2	#955436	Quaking Drum	© 1978 Black Hawk or Watership | Card 58	"A bold sound with just one disadvantage:
a minute’s pounding is permanent damage."	Abigail A Zack says: “The quick brown fox jumps over the crazy dog.”
Blood Bath	action	213	0	#FFFFFF	Try an Uh Oh!	© 2025 Seventeen Games | Card 213	"Reverse the win condition of the game. For example, if the current win condition contains the word “fewest” or “least,” it’s now “most” or “greatest,” and vice versa.
Discard after playing."	Abram R Zackrisson says: “The dodgy brown fox jumps over the lazy quack.”
Blood Bath	bath_toy	157	8	#AAE0FC	Motor Oil	© 2025 Seventeen Games | Card 157 | 18	"Birds covered in sludge, struggling for air—
the effect on Baby, too grim to compare."	Adalyn F Zacs says: “A quick brown fox jumps voluntarily upon this lazy dog.”
Blood Bath	bath_toy	137	7	#1FB25A	"Quaint
Phone Battery"	© 2025 Seventeen Games | Card 137 | 17	"Old batteries leak, and sometimes they run. Will it hurt Baby from toesies to tongue?"	Adam A Zact says: “The quick brown fox jumped over the lazy dog.”
Blood Bath	bath_toy	6	-1	#AAE0FC	"Poisonous
Mushrooms"	© 2025 Seventeen Games | Card 6 | 13	"Like gumdrops, they lead you astray —
with one little nibble, your organs decay."	Addison H Zadak says: “The dodgy brown fox jumps over the lazy quack.”
Blood Bath	bath_toy	94	4	#AAE0FC	"Handful of
Thumbtacks"	© 2025 Seventeen Games | Card 94 | 45	"Thumbtacks can look exactly like candy —
let Baby have’m, they’re probably dandy."	Adele S Zadeh says: “The quick brown fox jumped over the lazy dog.”
Blood Bath	bath_toy	201	9	#AAE0FC	River of Oopsie	© 1978 Twyla’s Singin’ in It | Card 201 | 15	We save the past poops of a king or a queen; so why not preserve Baby’s tiny sardine?	Adeleide U Zadora says: “The brown fox jumps quickly over the zestful dog.”
Blood Bath	bath_toy	5	-1	#AAE0FC	"Ring
around the Rosie"	© 2025 Seventeen Games | Card 5 | 44	"Embrace this historic plague of renown:
“Ashes, ashes, we all fall down….”"	Adeline T Zahir says: “The quick brown fox jumps over the crazy dog.”
Blood Bath	bath_toy	22	0	#0171BB	The Family Cat	© 2025 Seventeen Games | Card 22	Kitty doesn’t like water. It’s one of her flaws. She also hates babies. Look at those claws!	Aiden P Zaltman says: “The quizzical vixen jumps past a friggin’ but swanky Dalmatian.”
Blood Bath	bath_toy	110	5	#ED1B24	Water Color ca. 1950	© 2025 Seventeen Games | Card 110	"Asbestos and arsenic, toxic for sure.
They make Baby sick. There’s really no cure."	Aileen E Zaman says: “The jumpy fox waltzes over the quick but lazy dog.”
Blood Bath	bath_toy	14	-1	#CDE6D0	Power Drill	© 2025 Seventeen Games | Card 14	"The buzz might seem light, almost benign,
until trepanning crosses your mind."	Alaina S Zamaneh says: “A quick brown fox jumps voluntarily upon this lazy dog.”
Blood Bath	bath_toy	173	8	#AEA1FF	Jack and Jill	© 2025 Seventeen Games | Card 173	"Jack went down and Jill came after —
cue the cruel, contagious laughter."	Alan T Zamani says: “The worn-out fox jumps quickly over the lazy dog.”
Blood Bath	bath_toy	96	5	#FEF102	Venomous Spider	© 1978 Hi Yo or Ho | Card 96	"Itsy-bitsy will always prevail.
Its venom leaves you sweaty and frail."	"Alana H Zamboni says: “Et voilà! The prized fox jams sickly over a brown dog, QED.”"
Blood Bath	bath_toy	18	0	#AEA1FF	Romeo Void LP	© 2025 Seventeen Games | Card 18 | 33	"A vinyl LP. Let’s see how it plays.
Its edge slices skin in 33 1/3 different ways."	Alejandro E Zambrano says: “A quick brown fox jumps over his lazy dog.”
Tuba	action	227	0	#FFFFFF	Gobsmacking Surprise	© 2025 Seventeen Games | Card 227	"If you’re not holding a Parent, you must play this card. Scan QR code to determine effect.
If this card can't be scanned, add it to your Overflow Pile."	Aleksandr Solzhenisyn says: “We always pay early for chasing after what is cheap.”
Blood Bath	bath_toy	85	4	#AAE0FC	Asylum Escapee	© 2025 Seventeen Games | Card 85 | 31	"Delusions, fear, and logorrhea —
now Baby’s friend has diarrhea."	Alex A Zameta says: “The lazy brown fox jumps over the quaking dog.”
Blood Bath	bath_toy	82	3	#E1897A	Sierra Avalanche	© 2025 Seventeen Games | Card 82 | 48	"A bucket of ice dumped into the bath
will mimic the force of an avalanche."	Alexander H Zamfir says: “A quick brown fox jumps over two lazy dogs.”
Blood Bath	bath_toy	46	1	#DA3996	Hadean Phoenix	© 2025 Seventeen Games | Card 46	"Its feathers still burning, it’s fiery and hot. Don’t you think Baby has warmed up a jot?"	"Alexandra M Zammitti says: “Et voilà! The prized fox jams sickly over a brown dog, QED.”"
Blood Bath	bath_toy	185	9	#AEA1FF	Animal Waste	© 2025 Seventeen Games | Card 185 | 32	"“Waste not, want not,” an old cliché —
but that’s why manure’s still on display."	Alexis H Zamora says: “The lazy brown fox jumps over the quaking dog.”
Blood Bath	bath_toy	177	9	#AAE0FC	Bag of Sewage	© 2025 Seventeen Games | Card 177 | 41	"This hospital waste smells terribly bad.
It’s needles and blood; it’s all very sad."	Alice H Zamri says: “The quiet brown fox jumps coyly over the lazy dog.”
Blood Bath	bath_toy	133	7	#955436	"Climate
Crisis Reports"	© 2025 Seventeen Games | Card 133	"A billion case studies prove water will rise, 
yet old fuddy-duddies dismiss it as lies."	Alicia C Zana says: “The quick brown fox jumped over the lazy dog.”
Blood Bath	bath_toy	126	6	#FEF102	Winter Storm Amy	© 2025 Seventeen Games | Card 126 | 25	"Is Baby frozen, or acting deadpan? 
(It’s not a real storm: we just borrowed a fan.)"	Alina E Zanardo says: “The dodgy brown fox jumps over the lazy quack.”
Blood Bath	bath_toy	66	2	#73D8FF	"Unhealthy
Carl’s Jr. Burger"	© 2025 Seventeen Games | Card 66	"Well past its due date, this patty should vex. Do you think Baby sees that really big X?"	Alisette I Zand says: “The quick brown fox jumped over the lazy dog.”
Blood Bath	bath_toy	98	5	#AAE0FC	It’s the Virgin Mary	© 2025 Seventeen Games | Card 98 | 37	"You think we are joking, but really we’re not. This statue is stuffed with kilos of pot?"	Aliyah A Zandee says: “The quick brown fox jumped over the lazy dog.”
Blood Bath	action	217	0	#FFFFFF	"Time to
Rotate Overflow"	© 2025 Seventeen Games | Card 217	"Players pass their overflow piles to the player on their left.
Discard after playing."	Allegra E Zanden says: “The broken fox jumps over the quick but lazy dog.”
Blood Bath	bath_toy	70	3	#FEF102	"Risky
Number 2 Pencil"	© 2025 Seventeen Games | Card 70 | 26	"An ill-advised jab, now Baby is blind.
The plea for foresight, sadly declined?"	Allison C Zander says: “A quick brown fox jumps voluntarily upon this lazy dog.”
Blood Bath	bath_toy	30	0	#AAE0FC	Oscar the Pedophile	© 2025 Seventeen Games | Card 30	"Slicked hair, crooked teeth, and a total waste. [This card is really in terrible taste.]"	Amara N Zanderink says: “A quick brown fox jumps voluntarily upon this lazy dog.”
Blood Bath	bath_toy	74	3	#AEA1FF	"A Glass of
Shardonnay"	© 2025 Seventeen Games | Card 74 | 38	"It sparkles and shines, hard to surpass.
Below the surface, it’s all broken glass."	Amelia P Zanders says: “A quick brown fox jumps over his lazy dog.”
Blood Bath	bath_toy	90	4	#AAE0FC	"Hazardous
Benedict’s Elixir"	© 2025 Seventeen Games | Card 90 | 28	This agent is fatal: prepare for remembrance. Baby should show a little more temperance?	Amma E Zandgrond says: “The brown fox jumps quickly over the zestful dog.”
Blood Bath	bath_toy	165	8	#FEF102	Easy-bake Grenade	© 2025 Seventeen Games | Card 165 | 22	"A tiny toy that fascinates —
at least until it detonates."	Anabel N Zandi says: “The jumpy fox waltzes over the quick but lazy dog.”
Blood Bath	bath_toy	26	0	#E1897A	"Gruesome
Venus Flytrap"	© 2025 Seventeen Games | Card 26 | 42	"This carnivorous plant looks like a daisy,
but watch what it does after tickling Baby."	Andrew A Zandstra says: “The lazy brown fox jumps over the quick frog.”
Blood Bath	bath_toy	205	9	#AAE0FC	Fearless Alfa Wolf	© 2025 Seventeen Games | Card 205 | 35	"Lone wolf and master of all she surveys,
she likes Baby best in a rich bordelaise."	Andy H Zandt says: “The quick brown fox jumps over the crazy dog.”
Blood Bath	bath_toy	197	9	#AAE0FC	Happy Coyote	© 2025 Seventeen Games | Card 197 | 11	"Don't worry, Baby, coyotes are sweet.
Ha ha, just kidding. It’s YOU that they'll eat."	Angel K Zandwijk says: “The dodgy brown fox jumps over the lazy quack.”
Blood Bath	bath_toy	83	3	#F7941D	"Ritardando
Rock a Bye"	© 2025 Seventeen Games | Card 83	"A moment of triumph, then comes the fall, and down will come Baby, cradle and all."	Angela R Zane says: “A quick brown fox jumps over his lazy dog.”
Blood Bath	bath_toy	169	8	#CDE6D0	Cocaine Raccoon	© 2025 Seventeen Games | Card 169	"“Innocent Baby confronts twitching beast.”
A thrilling headline, but a ghastly feast."	Anika D Zanesco says: “A quick brown fox jumps over his lazy dog.”
Blood Bath	bath_toy	189	9	#CDE6D0	Devil Ducky	© 2025 Seventeen Games | Card 189	"This seductive fowl is strangely beloved:
no one's too young to sign contracts in blood."	Annabelle A Zanetti says: “The quick brown fox jumps over the crazy dog.”
Blood Bath	bath_toy	114	6	#FEF102	Electric Eel	© 2025 Seventeen Games | Card 114 | 23	One tiny shock and Baby's a cabbage. (Mentally speaking: limited damage.)	Anthony H Zang says: “A quick brown fox jumps voluntarily upon this lazy dog.”
Blood Bath	bath_toy	118	6	#0171BB	Momma Bear	© 2025 Seventeen Games | Card 118	"Baby loves bears. They’re terribly sweet.
Here’s one now making Baby her treat."	Anton O Zanini says: “The quick brown fox vigorously humps the lazy dog.”
Blood Bath	bath_toy	141	7	#AAE0FC	Poison Ivy	© 2025 Seventeen Games | Card 141 | 14	"Those pretty flowers are such a delight.
Too bad it means fifty blisters tonight."	April N Zanjani says: “The brown fox jumps quickly over the zestful dog.”
Blood Bath	bath_toy	130	7	#F7941D	Robo Ducky	© 1978 Dickey’s Stewardess | Card 130	"This high-tech duck was built for sanitization; its buggy lasers, however, prefer amputation."	Arabella S Zanke says: “The lazy brown fox jumps over the quaking dog.”
Blood Bath	bath_toy	181	9	#DA3996	"Spaghetti
& Meatballs"	© 2025 Seventeen Games | Card 181	"Baby’s favorite food is a little bit old.
Out of the fridge, it’s covered in mold."	Archer E Zanko says: “The quiet brown fox jumps coyly over the lazy dog.”
Rubber Ducky	bath_toy	53	1	#FEF102	Astronaut Costume	© 2025 Seventeen Games | Card 53	"From sea to stars, where wonders lie,
Baby giggles, spirits fly."	"Archibald Sartre says: “Commitment is each act, not a word.”"
Blood Bath	bath_toy	34	1	#AAE0FC	Reckless Scythe	© 2025 Seventeen Games | Card 34 | 24	"This ancient tool of agriculture looks neat.
It cuts through bone as quickly as wheat."	Ari G Zanon says: “The quick brown fox jumped over the lazy dog.”
Blood Bath	bath_toy	145	8	#AAE0FC	"India Ink
Tattoo Needles"	© 2025 Seventeen Games | Card 145 | 27	"For a single tattoo or full-body apparel,
This dingy ol’ needle has never been sterile."	Aria Y Zant says: “The dodgy brown fox jumps over the lazy quack.”
Blood Bath	bath_toy	50	2	#E1897A	Firecrackers	© 2025 Seventeen Games | Card 50 | 43	"Oh, Baby, look at them fly!
Snap goes your spine, pop goes your eye!"	Ariana M Zantema says: “The quick brown fox jumped over the lazy dog.”
Blood Bath	bath_toy	193	9	#1FB25A	Cleaning Bleach	© 2025 Seventeen Games | Card 193 | 12	"Acidic bleach wipes skin off of bones.
We want a clean Baby: stop with the moans."	Art I Zantinge says: “The quick brown fox jumped over the lazy dog.”
Blood Bath	action	209	0	#FFFFFF	"Gamble
with Uh Oh!"	© 2025 Seventeen Games | Card 209	"Reverse the win condition of the game. For example, if the current win condition contains the word “fewest” or “least,” it’s now “most” or “greatest,” and vice versa.
Discard after playing."	Arthur E Zapata says: “The brown fox jumps quickly over the zestful dog.”
Blood Bath	bath_toy	86	4	#1FB25A	Pukey Sneakers	© 2025 Seventeen Games | Card 86	"Sweaty, stinky, and truly ball-busting.
Is anything really much more disgusting?"	Arya S Zappata says: “The quick brown fox jumps over the crazy dog.”
Blood Bath	bath_toy	161	8	#AEA1FF	Nuclear Soap	© 2025 Seventeen Games | Card 161 | 36	"Without the protection of impenetrable lead,
this soap will surely burn Baby’s skin red."	Asher I Zariouh says: “A quick brown fox jumps over his lazy dog.”
Blood Bath	bath_toy	62	2	#E1897A	"Too Much
Bubble Bath"	© 2025 Seventeen Games | Card 62 | 46	"Those colorful effervescent bubbles 
may cause Baby urinary troubles."	Ashley T Zastrow says: “A quick brown fox jumps over the zillionth dog.”
Blood Bath	bath_toy	124	6	#AEA1FF	"Keeper of
Tower Bridge"	© 2025 Seventeen Games | Card 124 | 34	"Nobody really wants Baby to drown, 
but Tower Bridge is falling down...."	Astrid L Zavala says: “The broken fox jumps over the quick but lazy dog.”
Tuba	action	215	0	#FFFFFF	Nefarious Uh Oh!	© 2025 Seventeen Games | Card 215	"Reverse the win condition of the game. For example, if the current win condition contains the word “fewest” or “least,” it’s now “most” or “greatest,” and vice versa.
Discard after playing."	Athaniel Hawthorne says: “Sunlight is panting.”
Blood Bath	bath_toy	153	8	#CDE6D0	Puritan’s Radio	© 2025 Seventeen Games | Card 153	"Here, Baby, take this into the tub.
Enjoy the music; it’s never unplugged."	Athena U Zavalou says: “A quick brown fox jumps over two lazy dogs.”
Blood Bath	bath_toy	42	1	#FEF102	Evil NSA Ducky	© 2025 Seventeen Games | Card 42	"Bugging a bathtub is rather quixotic.
Is it also absurd, or just semiotic?"	Audrey A Zavalu says: “The dodgy brown fox jumps over the lazy quack.”
Blood Bath	bath_toy	149	8	#AAE0FC	Libertine’s Radio	© 2025 Seventeen Games | Card 149 | 21	"Here, Baby, take this into the tub.
Enjoy the music; it’s never unplugged."	August O Zavana says: “A quick brown fox jumps over his lazy dog.”
